Comment,Designator,Footprint,LCSC
100nf,"C1,C2,C3,C4",C_0603_1608Metric,C14663
USB_C_Receptacle,J1,USB_C_Receptacle_GCT_USB4110,C165948
Conn_01x02_Pin,J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C173752
SD103,D13,D_SOD-323F,C191023
R_Potentiometer,RV1,ALPSALPINE RS08U111Z001,C202411
TPS613222ADBV,U3,SOT-23-5,C2071163
5k1,R2,R_0603_1608Metric,C23186
10uf,"C5,C6",CP_Elec_5x3,C249450
4.7u,"C7,C8",CP_Elec_4x3,C249551
2k,R1,R_0603_1608Metric,C25981
WS2812B,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
AMS1117-3.3,U4,SOT-89-3,C2904742
Conn_ARM_JTAG_SWD_10,J3,PinHeader_2x05_P1.27mm_Vertical_SMD,C5160761
STM32G030F6P6,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
LR4054,U2,SOT-23-5,C5336483
4.7uh,L1,L_Vishay_IHLP-2020,C845007
SW_SPST,SW1,SW_SPDT_PCM12,C97433
MountingHole,H2,MountingHole_2.5mm,
MountingHole,H1,MountingHole_2.5mm,
