Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0603_1608Metric,158.8,-73.1,0.0,top
C2,100n,C_0603_1608Metric,146.675,-81.6,0.0,top
C3,100n,C_0603_1608Metric,146.625,-83.4,0.0,top
C4,100nf,C_0603_1608Metric,161.7,-78.875,90.0,top
C5,10uf,CP_Elec_5x3,151.4,-87.5,180.0,bottom
C6,10uf,CP_Elec_5x3,158.2,-69.3,0.0,bottom
C7,4.7u,CP_Elec_4x3,136.1,-74.9,0.0,top
C8,4.7u,CP_Elec_4x3,146.8,-94.1,180.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.45,-67.95,270.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,164.55,-70.05,270.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.85,-78.35,270.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.35,-86.25,270.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.45,-93.65,270.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147.25,-100.85,270.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.75,-93.65,270.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.85,-87.25,270.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.85,-79.35,270.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.75,-70.15,270.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.45,-67.55,270.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.65,-75.05,270.0,top
D13,SD103,D_SOD-323F,134.2,-81.3,0.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_GCT_USB4110,161.9552,-89.6527,315.0,bottom
J2,Conn_01x02_Pin,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,146.6,-97.7,0.0,bottom
J3,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,164.55,-75.7,0.0,bottom
L1,4.7uh,L_Vishay_IHLP-2020,141.7265,-87.7,0.0,top
R1,2k,R_0603_1608Metric,150.125,-84.3,0.0,top
R2,5k1,R_0603_1608Metric,143.275,-81.6,0.0,top
RV1,R_Potentiometer,ALPSALPINE RS08U111Z001,138.19,-89.59,0.0,bottom
SW1,SW_SPST,SW_SPDT_PCM12,127.5,-74.975,180.0,bottom
U1,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,156.5,-78.7,270.0,top
U2,LR4054,SOT-23-5,148.5375,-87.2,90.0,top
U3,TPS613222ADBV,SOT-23-5,138.8375,-81.7,180.0,top
U4,AMS1117-3.3,SOT-89-3,154.7,-85.9,270.0,top
